symbol,side,opened,entry,sl0,tp0,exitReason,exitBar,finalLevel,pnl
FUSDT,0,2026-06-26T21:33:30.0000000Z,0.003599,0.00353425,0.00382561,sl,0,0,-2.8186662961933870519588774660
WAXPUSDT,0,2026-06-26T21:33:40.0000000Z,0.00427,0.00418272,0.00457548,sl,0,0,-3.1860421545667447306791569087
WAXPUSDT,0,2026-06-26T21:33:49.0000000Z,0.00427,0.00418272,0.00457548,sl,0,0,-3.1860421545667447306791569087
SLXUSDT,0,2026-06-27T06:18:58.0000000Z,0.45018,0.42900353,0.52429764,sl,4,3,1.3800000000000000000000000000
SLXUSDT,0,2026-06-27T06:19:09.0000000Z,0.45024,0.42553083,0.5367221,sl,4,3,1.3800000000000000000000000000
MEWUSDT,0,2026-06-27T07:28:56.0000000Z,0.000369,0.00036497,0.0003831,sl,0,0,-1.7582113821138211382113821138
BROCCOLIF3BUSDT,0,2026-06-27T09:54:41.0000000Z,0.005618,0.00543766,0.00619508,sl,0,0,-4.9350587397650409398362406551
PIPPINUSDT,1,2026-06-27T13:00:00.0000000Z,0.01692,0.01771998,0.01525605,sl,10,3,1.3800000000000000000000000000
EIGENUSDT,0,2026-06-27T16:31:22.0000000Z,0.2336,0.22991379,0.24539587,sl,1,2,0.6300000000000000000000000000
STGUSDT,0,2026-06-27T20:07:59.0000000Z,0.1692,0.16304789,0.18319605,sl,10,3,1.3800000000000000000000000000
TACUSDT,1,2026-06-27T22:09:39.0000000Z,0.020778,0.02114577,0.0194908,sl,2,1,-0.12
PIPPINUSDT,1,2026-06-27T22:14:26.0000000Z,0.01694,0.01734046,0.01565852,sl,8,3,1.3800000000000000000000000000
POWRUSDT,0,2026-06-27T23:29:39.0000000Z,0.05342,0.05166996,0.05954514,sl,0,0,-5.0340022463496817671284163234
ACTUSDT,0,2026-06-27T23:39:32.0000000Z,0.00835,0.0080975,0.00892445,sl,0,0,-4.6559281437125748502994011975
XANUSDT,0,2026-06-28T00:52:41.0000000Z,0.010515,0.01029986,0.01126798,sl,0,0,-3.1890442225392296718972895864
TACUSDT,0,2026-06-28T03:06:36.0000000Z,0.021537,0.02124625,0.0224674,sl,0,0,-2.1450034823791614430979245020
CELOUSDT,0,2026-06-28T06:06:25.0000000Z,0.06607,0.06498777,0.06985779,tp,11,3,8.479492962009989405176328137
TACUSDT,0,2026-06-28T06:51:46.0000000Z,0.021537,0.0209555,0.02274652,sl,4,1,-0.12
INJUSDT,0,2026-06-28T06:51:54.0000000Z,4.744,4.69219552,4.92531568,sl,11,0,-1.7580000000000000000000000000
SXTUSDT,0,2026-06-28T10:23:54.0000000Z,0.006881,0.00681618,0.00710787,sl,0,0,-1.5330213631739572736520854527
ORCAUSDT,0,2026-06-28T11:04:20.0000000Z,1.156,1.12783984,1.22006436,sl,42,2,0.6300000000000000000000000000
CTRUSDT,0,2026-06-28T14:41:08.0000000Z,0.01085,0.01055184,0.01152831,sl,1,3,1.3800000000000000000000000000
DKNGUSDT,0,2026-06-28T16:22:43.0000000Z,25.11,24.5254392,26.43987582,sl,203,3,1.3800000000000000000000000000
POWRUSDT,0,2026-06-28T16:37:42.0000000Z,0.04995,0.04790005,0.05712482,sl,18,2,0.6300000000000000000000000000
DKNGUSDT,0,2026-06-28T17:18:20.0000000Z,25.11,24.8177196,26.1329814,sl,203,3,1.3800000000000000000000000000
BILLUSDT,0,2026-06-28T21:37:28.0000000Z,0.04418,0.04306666,0.04807668,sl,0,0,-3.9000135808057944771389769126
TRIAUSDT,0,2026-06-28T22:27:27.0000000Z,0.01807,0.01779787,0.01902247,sl,0,0,-2.3789651355838406198118428335
TRIAUSDT,0,2026-06-29T00:48:17.0000000Z,0.01807,0.01752573,0.01930821,sl,15,2,0.6300000000000000000000000000
ACTUSDT,1,2026-06-29T04:00:53.0000000Z,0.01321,0.0157273,0.00748315,sl,5,3,1.3800000000000000000000000000
ACTUSDT,1,2026-06-29T04:05:36.0000000Z,0.01323,0.01449055,0.00881806,sl,5,3,1.3800000000000000000000000000
TACUSDT,0,2026-06-29T04:21:15.0000000Z,0.022743,0.02242778,0.02384626,sl,0,0,-2.1990133227806358000263817438
CELOUSDT,0,2026-06-29T04:55:45.0000000Z,0.0708,0.06508295,0.08163,sl,6,0,-12.232394067796610169491525424
ATOMUSDT,0,2026-06-29T05:06:01.0000000Z,1.586,1.543245,1.805,sl,33,0,-4.1636633039092055485498108449
AVAAIUSDT,0,2026-06-29T05:25:44.0000000Z,0.005326,0.00522406,0.00568279,sl,6,3,1.3800000000000000000000000000
AVAAIUSDT,0,2026-06-29T05:45:48.0000000Z,0.005331,0.00512693,0.00579526,sl,4,3,1.3800000000000000000000000000
AGLDUSDT,0,2026-06-29T06:21:21.0000000Z,0.1902,0.18417446,0.21128938,sl,0,0,-4.8720031545741324921135646688
TURBOUSDT,0,2026-06-29T06:30:56.0000000Z,0.0009203,0.00087955,0.00101301,sl,2,3,1.3800000000000000000000000000
SWARMSUSDT,0,2026-06-29T06:50:56.0000000Z,0.007244,0.00704754,0.0079316,sl,0,0,-4.1880563224737713970182219768
SWARMSUSDT,0,2026-06-29T06:51:08.0000000Z,0.007226,0.00699737,0.00802621,sl,0,0,-4.8659867146415721007473014115
SWARMSUSDT,0,2026-06-29T07:46:01.0000000Z,0.007229,0.0068369,0.00812103,sl,3,1,-0.12
DOGSUSDT,0,2026-06-29T08:11:06.0000000Z,0.00003911,0.00003818,0.00004123,sl,5,3,1.3800000000000000000000000000
COAIUSDT,0,2026-06-29T09:21:25.0000000Z,0.3016,0.29309488,0.33136792,sl,0,0,-4.3500000000000000000000000000
COAIUSDT,0,2026-06-29T09:21:39.0000000Z,0.304,0.2939984,0.3390056,sl,0,0,-5.0550000000000000000000000000
